cluster1r,cluster1g,cluster1b,cluster2r,cluster2g,cluster2b,cluster3r,cluster3g,cluster3b,cluster4r,cluster4g,cluster4b,cluster5r,cluster5g,cluster5b,cluster6r,cluster6g,cluster6b,cluster7r,cluster7g,cluster7b,cluster8r,cluster8g,cluster8b,cluster9r,cluster9g,cluster9b,cluster10r,cluster10g,cluster10b
198,203,213,144,147,161,169,184,207,170,167,174,134,130,131,223,223,220,198,189,186,165,149,144,140,162,195,109,132,163
215,206,186,226,220,205,210,194,158,173,170,160,145,172,200,190,189,182,169,155,126,202,178,122,140,147,149,161,140,89
119,115,116,128,124,126,147,145,148,138,135,137,157,156,159,108,104,107,169,167,169,99,92,94,208,201,198,187,183,182
110,98,92,119,109,104,101,86,81,129,120,114,140,133,126,88,75,71,154,146,138,221,214,195,203,197,181,173,165,153
177,168,160,149,155,159,172,155,140,150,140,130,189,184,179,157,171,180,145,121,102,125,134,143,168,141,112,111,107,110
189,186,176,167,171,166,190,178,154,168,162,142,142,151,153,102,107,108,208,201,190,113,127,138,137,135,124,116,155,194
187,170,186,175,158,171,198,183,201,151,148,176,162,163,194,163,145,153,144,136,154,174,181,207,145,126,129,209,198,216
173,149,114,183,161,126,160,137,103,117,110,98,194,175,141,144,121,87,134,126,110,109,95,78,99,124,138,127,144,149
138,138,131,128,108,88,142,128,110,119,117,113,99,99,100,80,74,72,163,149,128,152,154,150,106,91,77,183,174,156
82,79,70,98,90,77,107,105,93,108,117,112,125,132,123,86,94,93,145,145,130,163,164,143,71,67,57,131,124,104
78,90,102,90,104,116,105,118,130,207,204,192,146,150,153,124,134,142,166,168,168,69,75,83,198,188,170,172,161,145
135,137,153,133,120,113,175,158,147,160,137,119,150,155,175,144,115,78,196,180,169,109,117,141,99,133,184,106,94,86
128,143,172,173,178,193,203,200,200,108,131,171,88,115,161,145,158,182,92,106,139,167,167,177,108,122,152,194,186,183
172,177,182,107,116,134,148,160,172,145,145,153,129,125,135,122,136,156,169,164,164,195,191,186,223,216,198,92,97,106
172,192,215,181,198,217,190,204,221,201,210,222,165,186,210,194,202,212,219,221,225,210,205,202,181,190,198,154,174,192
157,148,142,149,138,130,166,158,153,141,127,113,120,111,112,131,127,131,178,171,166,106,94,91,85,105,142,114,128,159
136,125,115,142,141,141,162,140,122,121,126,133,132,108,85,108,109,109,155,126,99,176,157,143,148,157,169,102,90,82
203,187,170,196,175,153,154,147,153,133,129,140,172,170,174,187,161,135,135,152,181,214,202,187,169,139,116,137,115,103
